,code,법정동명
149,1114015100,서울특별시 중구 을지로5가
150,1114015200,서울특별시 중구 주교동
151,1114015300,서울특별시 중구 방산동
152,1114015400,서울특별시 중구 오장동
153,1114015500,서울특별시 중구 을지로3가
154,1114015600,서울특별시 중구 입정동
155,1114015700,서울특별시 중구 산림동
156,1114015800,서울특별시 중구 충무로3가
157,1114015900,서울특별시 중구 초동
158,1114016000,서울특별시 중구 인현동1가
159,1114016100,서울특별시 중구 저동2가
160,1114016200,서울특별시 중구 신당동
161,1114016300,서울특별시 중구 흥인동
162,1114016400,서울특별시 중구 무학동
163,1114016500,서울특별시 중구 황학동
164,1114016600,서울특별시 중구 서소문동
165,1114016700,서울특별시 중구 정동
166,1114016800,서울특별시 중구 순화동
167,1114016900,서울특별시 중구 의주로1가
168,1114017000,서울특별시 중구 충정로1가
169,1114017100,서울특별시 중구 중림동
170,1114017200,서울특별시 중구 의주로2가
171,1114017300,서울특별시 중구 만리동1가
172,1114017400,서울특별시 중구 만리동2가
173,1114090100,서울특별시 중구 신당1동
174,1114090200,서울특별시 중구 신당2동
175,1114090300,서울특별시 중구 신당3동
176,1114090400,서울특별시 중구 신당4동
177,1114090500,서울특별시 중구 신당5동
178,1114090600,서울특별시 중구 신당6동
179,1117000000,서울특별시 용산구
180,1117000100,서울특별시 용산구 옥수동
181,1117000200,서울특별시 용산구 도동1가
182,1117000300,서울특별시 용산구 도동2가
183,1117000400,서울특별시 용산구 만리동1가
184,1117000500,서울특별시 용산구 만리동2가
185,1117010100,서울특별시 용산구 후암동
186,1117010200,서울특별시 용산구 용산동2가
187,1117010300,서울특별시 용산구 용산동4가
188,1117010400,서울특별시 용산구 갈월동
189,1117010500,서울특별시 용산구 남영동
190,1117010600,서울특별시 용산구 용산동1가
191,1117010700,서울특별시 용산구 동자동
192,1117010800,서울특별시 용산구 서계동
193,1117010900,서울특별시 용산구 청파동1가
194,1117011000,서울특별시 용산구 청파동2가
195,1117011100,서울특별시 용산구 청파동3가
196,1117011200,서울특별시 용산구 원효로1가
197,1117011300,서울특별시 용산구 원효로2가
198,1117011400,서울특별시 용산구 신창동
199,1117011500,서울특별시 용산구 산천동
200,1117011600,서울특별시 용산구 청암동
201,1117011700,서울특별시 용산구 원효로3가
202,1117011800,서울특별시 용산구 원효로4가
203,1117011900,서울특별시 용산구 효창동
204,1117012000,서울특별시 용산구 도원동
205,1117012100,서울특별시 용산구 용문동
206,1117012200,서울특별시 용산구 문배동
207,1117012300,서울특별시 용산구 신계동
208,1117012400,서울특별시 용산구 한강로1가
209,1117012500,서울특별시 용산구 한강로2가
210,1117012600,서울특별시 용산구 용산동3가
211,1117012700,서울특별시 용산구 용산동5가
212,1117012800,서울특별시 용산구 한강로3가
213,1117012900,서울특별시 용산구 이촌동
214,1117013000,서울특별시 용산구 이태원동
215,1117013100,서울특별시 용산구 한남동
216,1117013200,서울특별시 용산구 동빙고동
217,1117013300,서울특별시 용산구 서빙고동
218,1117013400,서울특별시 용산구 주성동
219,1117013500,서울특별시 용산구 용산동6가
220,1117013600,서울특별시 용산구 보광동
221,1117090100,서울특별시 용산구 청파1동
222,1117090200,서울특별시 용산구 청파2동
223,1117090300,서울특별시 용산구 이촌1동
224,1117090400,서울특별시 용산구 이촌2동
225,1117090500,서울특별시 용산구 이태원1동
226,1117090600,서울특별시 용산구 이태원2동
227,1117090700,서울특별시 용산구 한남1동
228,1117090800,서울특별시 용산구 한남2동
229,1120000000,서울특별시 성동구
230,1120000100,서울특별시 성동구 상일동
231,1120000200,서울특별시 성동구 길동
232,1120000300,서울특별시 성동구 둔촌동
233,1120000400,서울특별시 성동구 암사동
234,1120000500,서울특별시 성동구 성내동
235,1120000600,서울특별시 성동구 풍납동
236,1120000700,서울특별시 성동구 천호동
