,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
8071,대전광역시 서구청,대전광역시 서구 용소로 40번길(가수원동),대전광역시 서구 가수원동 1358,1,2015-08,36.3067752,127.3530345
8072,대전광역시 서구청,대전광역시 서구 원도안로 26번길 11(가수원동),대전광역시 서구 가수원동 899,1,2015-08,36.3067509,127.3489225
8074,대전광역시 서구청,,대전광역시 서구 가수원동 194-7,1,2015-08,36.3063613,127.3555606
8075,대전광역시 서구청,,대전광역시 서구 가수원동 1052,1,2015-08,36.3050185,127.3508753
8076,대전광역시 서구청,,대전광역시 서구 가수원동 417-2,1,2015-08,36.3046182,127.3475284
9908,경기도 수원시,경기도 수원시 영통구 영통로 319,경기도 수원시 영통구 영통동 963-5,1,2010-08,37.2550727,127.0639992
9909,경기도 수원시,경기도 수원시 영통구 영통로 328,경기도 수원시 영통구 영통동 963-7,1,2010-08,37.2544333,127.0644361925
9912,경기도 수원시,경기도 수원시 영통구 중부대로448번길 57,경기도 수원시 영통구 원천동 235-7,1,2010-08,37.267373,127.0614725
9913,경기도 수원시,경기도 수원시 영통구 매영로 132,경기도 수원시 영통구 매탄동 1230-4,3,2017-12,37.2665731,127.057278
11803,경기도 수원시,경기도 수원시 영통구 청명로 65,경기도 수원시 영통구 영통동 1045-7,1,2010-08,37.2530453,127.0796653
13401,충청남도 천안시청,충청남도 천안시 동남구 풍세면 수원지길 43,충청남도 천안시 동남구 풍세면 남관리 31-1,1,2020-08,36.7509232,127.1308843
13402,충청남도 천안시청,충청남도 천안시 동남구 풍세면 수원지길 43,충청남도 천안시 동남구 풍세면 남관리 31-1,1,2020-08,36.7509232,127.1308843
13403,충청남도 천안시청,충청남도 천안시 동남구 풍세면 수원지길 43,충청남도 천안시 동남구 풍세면 남관리 31-1,1,2020-08,36.7509232,127.1308843
13455,경기도 수원시,경기도 수원시 장안구 송정로 45,경기도 수원시 장안구 송죽동 402-6,1,2010-08,37.2962023,127.0018669
13461,경기도 수원시,경기도 수원시 장안구 팔달로 241,경기도 수원시 장안구 영화동 435-6,1,2017-05,37.2880117,127.0115314
13462,경기도 수원시,,경기도 수원시 권선구 호매실동 4-2,2,2010-11,37.2725971,126.9612332
13463,경기도 수원시,,경기도 수원시 권선구 호매실동 4-2,2,2010-11,37.2725971,126.9612332
13464,경기도 수원시,,경기도 수원시 영통구 이의동 산 13-97,1,2011-08,37.3034273,127.0521386
13465,경기도 수원시,,경기도 수원시 권선구 권선동 1000-10,1,2011-08,37.2573761,127.0183139
13466,경기도 수원시,경기도 수원시 영통구 청명북로 66,경기도 수원시 영통구 영통동 195-25,1,2019-05,37.2570992,127.0807741
13467,경기도 수원시,,경기도 수원시 팔달구 인계동 359-48,5,2011-08,37.2709334,127.0344729
13468,경기도 수원시,,경기도 수원시 영통구 매탄동 196-125,4,2011-08,37.2707125,127.0485884
13469,경기도 수원시,,경기도 수원시 영통구 원천동 257-15,1,2017-01,37.2664619,127.0637265
13470,경기도 수원시,경기도 수원시 권선구 권선로766번길 9,경기도 수원시 권선구 권선동 1167-13,2,2017-05,37.2564087,127.0345909
13471,경기도 수원시,경기도 수원시 영통구 봉영로1492번길 14,경기도 수원시 영통구 영통동 984-12,4,2011-08,37.2457094,127.0669445
13472,경기도 수원시,경기도 수원시 영통구 인계로292번길 42-3,경기도 수원시 영통구 매탄동 1257-6,4,2011-08,37.2611527,127.0482783
13473,경기도 수원시,경기도 수원시 권선구 세지로12번길 45,경기도 수원시 권선구 세류동 1106,1,2017-01,37.2526818,127.0173661
13475,경기도 수원시,,경기도 수원시 장안구 조원동 781-10,5,2017-06,37.2957334,127.0129533
13476,경기도 수원시,경기도 수원시 장안구 정조로1051번길 29,경기도 수원시 장안구 송죽동 386-1,1,2011-08,37.2984819,127.0044722
13477,경기도 수원시,경기도 수원시 장안구 수일로104번길 28,경기도 수원시 장안구 파장동 630,5,2017-08,37.308258,127.0010546
13478,경기도 수원시,,경기도 수원시 장안구 파장동 279-2,5,2011-08,37.3105644,126.9956738
13479,경기도 수원시,경기도 수원시 팔달구 수성로157번길 41-13,경기도 수원시 팔달구 화서동 683-8,1,2011-08,37.2876778,126.9884474
13480,경기도 수원시,경기도 수원시 장안구 연무로 42-1,경기도 수원시 장안구 연무동 230-32,1,2011-08,37.2950646,127.0269155
13481,경기도 수원시,경기도 수원시 장안구 덕영대로381번길 18,경기도 수원시 장안구 율전동 181-1,1,2011-08,37.3022871,126.964781
13482,경기도 수원시,경기도 수원시 팔달구 팔달문로 23,경기도 수원시 팔달구 지동 402-5,1,2017-01,37.2777391,127.0198628
