,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
24358,경상남도 창원시,경상남도 창원시 의창구 동읍 동읍로 121-11,경상남도 창원시 의창구 동읍 신방리 907,2,2019-05,35.28742802,128.6786334
24359,경상남도 창원시,경상남도 창원시 의창구 동읍 자여로 135,경상남도 창원시 의창구 동읍 단계리 277-2,3,2018-09,35.27232706,128.7049311
24360,경상남도 창원시,,경상남도 창원시 의창구 동읍 용정리 20-24,2,2014-06,35.27331459,128.7065984
24361,경상남도 창원시,경상남도 창원시 의창구 동읍 자여로115번길 17,경상남도 창원시 의창구 동읍 용정리 20-26,2,2019-05,35.2737978,128.7056496
24363,경상남도 창원시,경상남도 창원시 의창구 동읍 백월로 522,경상남도 창원시 의창구 동읍 화양리 988-1,3,2018-09,35.30564528,128.6531785
24364,경상남도 창원시,경상남도 창원시 의창구 원이대로 277,경상남도 창원시 의창구 봉곡동 36-7,4,2018-06,35.24259386,128.6505378
24365,경상남도 창원시,경상남도 창원시 의창구 사림로100번길 5,경상남도 창원시 의창구 사림동 71-20,4,2018-12,35.2446853,128.6825383
24366,경상남도 창원시,경상남도 창원시 의창구 사림로100번길 19,경상남도 창원시 의창구 사림동 71-11,3,2018-12,35.24363123,128.6815134
24367,경상남도 창원시,경상남도 창원시 의창구 봉곡로93번길 77,경상남도 창원시 의창구 봉곡동 177-8,4,2019-05,35.24914521,128.6778061
24368,경상남도 창원시,경상남도 창원시 의창구 사림로45번길 20,경상남도 창원시 의창구 사림동 109-20,3,2019-05,35.24876585,128.6784906
24369,경상남도 창원시,경상남도 창원시 의창구 봉곡로111번길 41,경상남도 창원시 의창구 봉곡동 165-9,4,2019-12,35.24627357,128.6747882
24370,경상남도 창원시,경상남도 창원시 의창구 봉곡로111번길 23,경상남도 창원시 의창구 봉곡동 146-7,3,2019-12,35.24675909,128.672993
24371,경상남도 창원시,경상남도 창원시 의창구 창이대로321번길 9,경상남도 창원시 의창구 봉곡동 142-6,3,2019-12,35.24644889,128.6726683
24372,경상남도 창원시,경상남도 창원시 의창구 봉곡로115번길 27,경상남도 창원시 의창구 봉곡동 160-16,2,2019-12,35.24613512,128.6736762
24373,경상남도 창원시,경상남도 창원시 의창구 사림로158번길 16-15,경상남도 창원시 의창구 사림동 45-1,5,2019-12,35.24331179,128.6847709
24374,경상남도 창원시,경상남도 창원시 의창구 봉곡로124번길 1,경상남도 창원시 의창구 봉곡동 127-12,4,2019-12,35.24629399,128.670404
24375,경상남도 창원시,경상남도 창원시 의창구 창이대로169번길 16-14,경상남도 창원시 의창구 봉곡동 55-5,2,2019-12,35.24565199,128.656454
24376,경상남도 창원시,경상남도 창원시 의창구 지귀로24번길 23,경상남도 창원시 의창구 봉곡동 29-12,3,2019-12,35.24425099,128.651923
24377,경상남도 창원시,경상남도 창원시 의창구 봉곡로11번길 14,경상남도 창원시 의창구 봉곡동 87-8,3,2020-06,35.24648799,128.661528
24378,경상남도 창원시,경상남도 창원시 의창구 소봉로 77,경상남도 창원시 의창구 봉림동 527-1,3,2020-06,35.25591799,128.668848
24379,경상남도 창원시,경상남도 창원시 의창구 지귀로 14,경상남도 창원시 의창구 봉곡동 31-4,3,2020-06,35.24465399,128.6494777
24380,경상남도 창원시,경상남도 창원시 의창구 봉곡로11번길 10-24,경상남도 창원시 의창구 봉곡동 88-1,2,2020-06,35.24785299,128.661971
24381,경상남도 창원시,경상남도 창원시 의창구 창이대로227번길 20,경상남도 창원시 의창구 봉곡동 89-2,2,2020-06,35.24756399,128.662467
24382,경상남도 창원시,경상남도 창원시 의창구 신월로37번길 29,경상남도 창원시 의창구 신월동 12-75,2,2020-06,35.2309596,128.6938579
24383,경상남도 창원시,경상남도 창원시 의창구 창이대로600번길 15-29,경상남도 창원시 의창구 신월동 19-10,2,2019-05,35.22816875,128.6957991
