id,place,street_address,lat,long
500536,학교,경상남도 진주시 진주성로24번길 7 (인사동),35.1930687,128.0783424
539182,학교,경상남도 진주시 의병로 265 (봉래동),35.1998502,128.0879677
37623,학교,경상남도 진주시 금곡면 월아산로89번길 11,35.089813,128.184974
500509,학교,경상남도 진주시 의병로 95-20 (상봉동),35.2010664,128.0699194
500126,학교,경상남도 진주시 정촌면 정촌로 629,35.1370414,128.1436642
500173,학교,경상남도 진주시 미천면 안간길 18-8,35.3189926,128.0879771
28054,주택단지,경상남도 진주시 창렬로 123 (상봉동),35.1984971,128.0707287
6273,주택단지,경상남도 진주시 도동천로184번길 7 (상대동 대동아파트),35.1861032,128.1192747
5214,주택단지,경상남도 진주시 상대로 101 (하대동 상대아파트),35.1852878,128.1238804
500523,학교,경상남도 진주시 정촌면 대축길 10,35.1234273,128.094552
3311,주택단지,경상남도 진주시 솔밭로92번길 5 (상평동 촉석맨션),35.1778451,128.1075207
514688,유치원,경상남도 진주시 의병로 265 (봉래동),35.1998502,128.0879677
518156,학교,경상남도 진주시 진성면 진성로355번길 10,35.1700679,128.22475
29827,학교,경상남도 진주시 사봉면 사군로 99,35.1890632,128.269376
500134,학교,경상남도 진주시 모덕로 99 (상대동),35.1835861,128.1090662
5215,주택단지,경상남도 진주시 상대로 125 (하대동 주공아파트),35.1853066,128.1262397
500507,유치원,경상남도 진주시 의병로 95-20 (상봉동),35.2010664,128.0699194
500578,유치원,경상남도 진주시 문산읍 월아산로1094번길 10,35.1694811,128.1627798
7404,주택단지,경상남도 진주시 서장대로 247 (이현동),35.1915446,128.0603458
6860,주택단지,경상남도 진주시 서장대로 247 (이현동),35.1915446,128.0603458
33374,유치원,경상남도 진주시 대신로 324 (하대동),35.1898271,128.1178277
5176,주택단지,경상남도 진주시 강남로255번길 18 (칠암동 현대아파트),35.1871739,128.0890596
534890,유치원,경상남도 진주시 정촌면 정촌로 629,35.1370414,128.1436642
3309,주택단지,경상남도 진주시 망경북길 53 (망경동 망경한주맨션),35.1862843,128.0840958
500528,학교,경상남도 진주시 이반성면 오봉산로 762,35.1731664,128.3293083
500564,학교,경상남도 진주시 진양호로369번길 3 (신안동),35.1863618,128.0670038
6264,주택단지,경상남도 진주시 진주성로147번길 10 (상봉동 상봉2주공아파트),35.2034444,128.0733195
500527,유치원,경상남도 진주시 명석면 광제산로 23,35.2181611,128.0403011
12517,주택단지,경상남도 진주시 숙호산로 64-5 (이현동 신익무지개아파트),35.1865401,128.0619765
6268,주택단지,경상남도 진주시 서장대로278번길 9 (이현동 이현한주아파트),35.1914061,128.0643409
500538,학교,경상남도 진주시 지수면 지사로 806,35.2332987,128.2525014
529715,유치원,경상남도 진주시 지수면 지사로 806,35.2332987,128.2525014
3308,주택단지,경상남도 진주시 진양호로185번길 7 (평거동 주공1차아파트),35.1718345,128.0579387
5208,주택단지,경상남도 진주시 모덕로306번길 17 (하대동 삼전2차아파트),35.1876352,128.1278061
5207,주택단지,경상남도 진주시 모덕로270번길 12 (하대동 올림피아골든맨션),35.1882406,128.123113
5183,주택단지,경상남도 진주시 천수로 315 (신안동 현대아파트),35.1842087,128.0719371
6263,주택단지,경상남도 진주시 천수로 315 (신안동 현대아파트),35.1842087,128.0719371
6276,주택단지,경상남도 진주시 모덕로 293 (하대동 임광아파트),35.1895773,128.1260216
5203,주택단지,경상남도 진주시 남강로1093번길 14 (상평동 국민1차아파트),35.1696465,128.1121405
5180,주택단지,경상남도 진주시 진주대로 859 (주약동 한주럭키아파트),35.1761809,128.0909911
5181,주택단지,경상남도 진주시 진주대로 859 (주약동 한주럭키아파트),35.1761809,128.0909911
500562,학교,경상남도 진주시 문산읍 월아산로1048번길 36,35.1645186,128.1684899
5148,주택단지,경상남도 진주시 남강로 479 (신안동 한주파크맨션),35.1814024,128.0723572
5204,주택단지,경상남도 진주시 공단로236번길 24 (상평동 89상평국민주택(2차)),35.1739455,128.1253309
12521,주택단지,경상남도 진주시 남강로1069번길 4-1 (상평동 국민주택3차),35.1690834,128.1095956
5137,어린이집,경상남도 진주시 모덕로197번길 7 (하대동),35.1891826,128.1152875
5192,주택단지,경상남도 진주시 금산면 금산로 130 (금호맨션),35.2127405,128.1494346
6265,주택단지,경상남도 진주시 상봉대룡길 14 (상봉동 삼영아파트),35.2010297,128.0689053
500519,학교,경상남도 진주시 평거로139번길 8 (신안동),35.1827022,128.06862
529714,유치원,경상남도 진주시 평거로139번길 8 (신안동),35.1827022,128.06862
6278,주택단지,경상남도 진주시 선학산길 22 (상대동 동서훼밀리),35.184131,128.1091099
5221,주택단지,경상남도 진주시 남강로 1407 (하대동 럭키강변아파트),35.186633,128.1281327
5202,주택단지,경상남도 진주시 큰들로66번길 12 (상평동 동국강변아파트),35.1702161,128.1095584
6861,주택단지,경상남도 진주시 모덕로181번길 7 (상대동 상대현대아파트),35.1871887,128.113283
5146,주택단지,경상남도 진주시 모덕로306번길 2 (하대동 한보타워맨션),35.1887524,128.1270643
5189,주택단지,경상남도 진주시 석갑로156번길 19 (신안동 그린타운),35.1832886,128.0644944
5175,주택단지,경상남도 진주시 진양호로51번길 6-7 (판문동 현대아파트),35.1680089,128.0461084
3301,주택단지,경상남도 진주시 말티고개로 102-5 (하대동 하대대영아파트),35.1963013,128.1126125
6258,주택단지,경상남도 진주시 명석면 광제산로 11-21 (동신아파트),35.2169396,128.0391042
12524,주택단지,경상남도 진주시 진양호로97번길 8-3 (평거동 하영그린맨션),35.1682447,128.051075
