행정기관,연령(만),계,남,여
용지동,96 - 96,5,2,3
용지동,97 - 97,4,0,4
용지동,98 - 98,2,0,2
용지동,99 - 99,1,0,1
용지동,103 - 103,1,1,0
중앙동,0 - 0,198,112,86
중앙동,1 - 1,213,98,115
중앙동,2 - 2,199,97,102
중앙동,3 - 3,216,130,86
중앙동,4 - 4,251,130,121
중앙동,5 - 5,235,114,121
중앙동,6 - 6,227,111,116
중앙동,7 - 7,216,124,92
중앙동,8 - 8,220,122,98
중앙동,9 - 9,218,113,105
중앙동,10 - 10,268,147,121
중앙동,11 - 11,208,106,102
중앙동,12 - 12,229,110,119
중앙동,13 - 13,232,108,124
중앙동,14 - 14,244,133,111
중앙동,15 - 15,203,114,89
중앙동,16 - 16,237,122,115
중앙동,17 - 17,258,137,121
중앙동,18 - 18,276,151,125
중앙동,19 - 19,349,196,153
중앙동,20 - 20,386,207,179
중앙동,21 - 21,467,245,222
중앙동,22 - 22,499,285,214
중앙동,23 - 23,536,301,235
중앙동,24 - 24,625,344,281
중앙동,25 - 25,712,399,313
중앙동,26 - 26,680,384,296
중앙동,27 - 27,777,449,328
중앙동,28 - 28,797,469,328
중앙동,29 - 29,743,415,328
중앙동,30 - 30,690,402,288
중앙동,31 - 31,685,416,269
중앙동,32 - 32,633,367,266
중앙동,33 - 33,610,333,277
중앙동,34 - 34,595,345,250
중앙동,35 - 35,546,330,216
중앙동,36 - 36,539,302,237
중앙동,37 - 37,589,321,268
중앙동,38 - 38,582,318,264
중앙동,39 - 39,566,325,241
중앙동,40 - 40,580,338,242
중앙동,41 - 41,570,309,261
중앙동,42 - 42,498,291,207
중앙동,43 - 43,453,263,190
중앙동,44 - 44,454,249,205
중앙동,45 - 45,440,220,220
중앙동,46 - 46,498,242,256
중앙동,47 - 47,543,268,275
중앙동,48 - 48,575,282,293
중앙동,49 - 49,637,349,288
중앙동,50 - 50,705,354,351
중앙동,51 - 51,679,361,318
중앙동,52 - 52,759,385,374
중앙동,53 - 53,690,334,356
중앙동,54 - 54,639,334,305
중앙동,55 - 55,642,332,310
중앙동,56 - 56,671,347,324
중앙동,57 - 57,569,288,281
중앙동,58 - 58,645,360,285
중앙동,59 - 59,583,316,267
중앙동,60 - 60,677,361,316
중앙동,61 - 61,581,306,275
중앙동,62 - 62,516,282,234
중앙동,63 - 63,432,234,198
중앙동,64 - 64,379,197,182
중앙동,65 - 65,351,184,167
중앙동,66 - 66,363,183,180
중앙동,67 - 67,251,135,116
중앙동,68 - 68,257,140,117
중앙동,69 - 69,237,132,105
중앙동,70 - 70,175,90,85
중앙동,71 - 71,176,103,73
중앙동,72 - 72,153,78,75
중앙동,73 - 73,121,55,66
중앙동,74 - 74,137,78,59
중앙동,75 - 75,85,49,36
중앙동,76 - 76,95,45,50
중앙동,77 - 77,74,32,42
중앙동,78 - 78,85,47,38
중앙동,79 - 79,65,33,32
중앙동,80 - 80,66,25,41
중앙동,81 - 81,63,19,44
중앙동,82 - 82,73,24,49
중앙동,83 - 83,52,20,32
중앙동,84 - 84,41,16,25
중앙동,85 - 85,54,19,35
중앙동,86 - 86,41,18,23
중앙동,87 - 87,30,4,26
중앙동,88 - 88,24,9,15
중앙동,89 - 89,19,3,16
중앙동,90 - 90,19,3,16
중앙동,91 - 91,14,1,13
중앙동,92 - 92,12,2,10
중앙동,93 - 93,6,1,5
중앙동,94 - 94,5,1,4
중앙동,95 - 95,9,2,7
중앙동,96 - 96,6,2,4
중앙동,97 - 97,3,2,1
중앙동,98 - 98,3,1,2
중앙동,103 - 103,1,0,1
상남동,0 - 0,101,58,43
상남동,1 - 1,131,64,67
상남동,2 - 2,149,66,83
상남동,3 - 3,162,88,74
상남동,4 - 4,170,89,81
상남동,5 - 5,227,116,111
상남동,6 - 6,230,110,120
상남동,7 - 7,269,136,133
상남동,8 - 8,274,137,137
상남동,9 - 9,265,141,124
상남동,10 - 10,305,150,155
상남동,11 - 11,273,143,130
상남동,12 - 12,311,174,137
상남동,13 - 13,331,180,151
상남동,14 - 14,356,201,155
상남동,15 - 15,318,161,157
상남동,16 - 16,320,174,146
상남동,17 - 17,362,184,178
상남동,18 - 18,367,183,184
상남동,19 - 19,339,175,164
상남동,20 - 20,418,228,190
상남동,21 - 21,438,262,176
상남동,22 - 22,427,238,189
상남동,23 - 23,433,245,188
상남동,24 - 24,397,227,170
상남동,25 - 25,428,253,175
상남동,26 - 26,371,219,152
상남동,27 - 27,345,190,155
상남동,28 - 28,402,216,186
상남동,29 - 29,421,226,195
상남동,30 - 30,342,182,160
상남동,31 - 31,388,223,165
상남동,32 - 32,360,200,160
상남동,33 - 33,327,184,143
상남동,34 - 34,302,162,140
상남동,35 - 35,311,144,167
상남동,36 - 36,320,184,136
상남동,37 - 37,343,169,174
상남동,38 - 38,343,176,167
상남동,39 - 39,397,183,214
상남동,40 - 40,465,213,252
상남동,41 - 41,441,204,237
상남동,42 - 42,398,179,219
상남동,43 - 43,443,205,238
상남동,44 - 44,407,195,212
상남동,45 - 45,412,188,224
상남동,46 - 46,453,203,250
상남동,47 - 47,544,252,292
상남동,48 - 48,556,241,315
상남동,49 - 49,554,248,306
상남동,50 - 50,608,283,325
상남동,51 - 51,636,280,356
상남동,52 - 52,644,286,358
상남동,53 - 53,601,274,327
상남동,54 - 54,587,283,304
상남동,55 - 55,578,243,335
상남동,56 - 56,595,266,329
상남동,57 - 57,523,258,265
상남동,58 - 58,609,319,290
상남동,59 - 59,559,293,266
상남동,60 - 60,622,322,300
상남동,61 - 61,537,295,242
상남동,62 - 62,444,247,197
상남동,63 - 63,386,209,177
상남동,64 - 64,319,188,131
상남동,65 - 65,251,129,122
상남동,66 - 66,255,140,115
상남동,67 - 67,170,84,86
상남동,68 - 68,180,98,82
상남동,69 - 69,152,79,73
상남동,70 - 70,99,54,45
상남동,71 - 71,99,58,41
상남동,72 - 72,99,50,49
상남동,73 - 73,87,45,42
상남동,74 - 74,91,43,48
상남동,75 - 75,58,28,30
상남동,76 - 76,56,20,36
상남동,77 - 77,50,14,36
상남동,78 - 78,66,25,41
상남동,79 - 79,58,20,38
상남동,80 - 80,52,22,30
상남동,81 - 81,49,15,34
상남동,82 - 82,47,17,30
상남동,83 - 83,40,11,29
상남동,84 - 84,36,11,25
상남동,85 - 85,34,8,26
상남동,86 - 86,26,3,23
상남동,87 - 87,26,8,18
상남동,88 - 88,23,7,16
상남동,89 - 89,21,5,16
상남동,90 - 90,14,4,10
상남동,91 - 91,12,3,9
상남동,92 - 92,17,3,14
상남동,93 - 93,6,0,6
상남동,94 - 94,6,1,5
상남동,95 - 95,4,0,4
상남동,96 - 96,1,1,0
상남동,98 - 98,2,1,1
상남동,100 - 100,1,0,1
상남동,101 - 101,2,1,1
상남동,108 - 108,1,0,1
사파동,0 - 0,213,105,108
사파동,1 - 1,206,102,104
사파동,2 - 2,239,117,122
사파동,3 - 3,299,166,133
사파동,4 - 4,313,158,155
사파동,5 - 5,370,181,189
사파동,6 - 6,388,198,190
사파동,7 - 7,379,194,185
사파동,8 - 8,425,211,214
사파동,9 - 9,446,240,206
사파동,10 - 10,451,237,214
사파동,11 - 11,403,203,200
사파동,12 - 12,440,226,214
사파동,13 - 13,439,239,200
사파동,14 - 14,472,246,226
사파동,15 - 15,448,239,209
사파동,16 - 16,451,231,220
사파동,17 - 17,509,248,261
사파동,18 - 18,502,270,232
사파동,19 - 19,555,299,256
사파동,20 - 20,590,325,265
사파동,21 - 21,633,363,270
사파동,22 - 22,601,328,273
사파동,23 - 23,621,339,282
사파동,24 - 24,591,346,245
사파동,25 - 25,644,348,296
사파동,26 - 26,624,325,299
사파동,27 - 27,701,380,321
사파동,28 - 28,641,342,299
사파동,29 - 29,709,388,321
사파동,30 - 30,684,370,314
사파동,31 - 31,683,357,326
사파동,32 - 32,666,375,291
사파동,33 - 33,592,301,291
사파동,34 - 34,633,323,310
사파동,35 - 35,562,299,263
사파동,36 - 36,551,299,252
사파동,37 - 37,592,316,276
사파동,38 - 38,658,325,333
사파동,39 - 39,618,303,315
사파동,40 - 40,729,351,378
사파동,41 - 41,709,316,393
사파동,42 - 42,690,337,353
사파동,43 - 43,635,304,331
사파동,44 - 44,669,325,344
사파동,45 - 45,688,329,359
사파동,46 - 46,744,331,413
사파동,47 - 47,843,391,452
사파동,48 - 48,864,382,482
사파동,49 - 49,903,427,476
사파동,50 - 50,950,441,509
사파동,51 - 51,966,450,516
사파동,52 - 52,910,416,494
사파동,53 - 53,899,403,496
사파동,54 - 54,839,367,472
사파동,55 - 55,866,396,470
사파동,56 - 56,949,431,518
사파동,57 - 57,766,341,425
사파동,58 - 58,956,453,503
사파동,59 - 59,908,426,482
사파동,60 - 60,"1,004",501,503
사파동,61 - 61,910,508,402
사파동,62 - 62,733,398,335
사파동,63 - 63,607,330,277
사파동,64 - 64,529,286,243
사파동,65 - 65,468,231,237
사파동,66 - 66,423,223,200
사파동,67 - 67,318,179,139
사파동,68 - 68,304,166,138
사파동,69 - 69,305,157,148
사파동,70 - 70,226,116,110
사파동,71 - 71,191,105,86
사파동,72 - 72,199,91,108
사파동,73 - 73,200,92,108
사파동,74 - 74,173,76,97
사파동,75 - 75,99,36,63
사파동,76 - 76,121,57,64
사파동,77 - 77,111,43,68
사파동,78 - 78,109,41,68
사파동,79 - 79,123,53,70
사파동,80 - 80,115,32,83
사파동,81 - 81,99,30,69
사파동,82 - 82,102,28,74
사파동,83 - 83,75,23,52
사파동,84 - 84,61,14,47
사파동,85 - 85,68,15,53
사파동,86 - 86,61,11,50
사파동,87 - 87,50,8,42
사파동,88 - 88,44,10,34
사파동,89 - 89,37,8,29
사파동,90 - 90,21,2,19
사파동,91 - 91,26,3,23
사파동,92 - 92,17,2,15
사파동,93 - 93,9,2,7
사파동,94 - 94,9,4,5
사파동,95 - 95,5,1,4
사파동,96 - 96,2,0,2
사파동,97 - 97,5,1,4
사파동,109 - 109,1,0,1
가음정동,0 - 0,278,142,136
가음정동,1 - 1,333,170,163
가음정동,2 - 2,344,169,175
가음정동,3 - 3,325,155,170
가음정동,4 - 4,351,175,176
가음정동,5 - 5,414,206,208
가음정동,6 - 6,378,191,187
가음정동,7 - 7,370,198,172
가음정동,8 - 8,391,205,186
가음정동,9 - 9,382,192,190
가음정동,10 - 10,402,205,197
가음정동,11 - 11,326,147,179
가음정동,12 - 12,377,194,183
가음정동,13 - 13,393,190,203
가음정동,14 - 14,353,199,154
가음정동,15 - 15,377,190,187
가음정동,16 - 16,409,204,205
가음정동,17 - 17,413,239,174
가음정동,18 - 18,436,231,205
가음정동,19 - 19,443,246,197
가음정동,20 - 20,550,306,244
가음정동,21 - 21,541,316,225
가음정동,22 - 22,534,320,214
가음정동,23 - 23,530,288,242
가음정동,24 - 24,590,328,262
가음정동,25 - 25,653,374,279
가음정동,26 - 26,614,344,270
가음정동,27 - 27,662,385,277
가음정동,28 - 28,595,329,266
가음정동,29 - 29,696,372,324
가음정동,30 - 30,645,346,299
가음정동,31 - 31,623,336,287
가음정동,32 - 32,629,329,300
가음정동,33 - 33,609,319,290
가음정동,34 - 34,613,317,296
가음정동,35 - 35,597,326,271
가음정동,36 - 36,598,311,287
가음정동,37 - 37,574,297,277
가음정동,38 - 38,626,314,312
가음정동,39 - 39,619,328,291
가음정동,40 - 40,609,321,288
가음정동,41 - 41,642,315,327
가음정동,42 - 42,574,298,276
가음정동,43 - 43,627,315,312
가음정동,44 - 44,582,302,280
가음정동,45 - 45,565,253,312
가음정동,46 - 46,588,272,316
가음정동,47 - 47,651,270,381
가음정동,48 - 48,751,352,399
가음정동,49 - 49,770,372,398
가음정동,50 - 50,784,368,416
가음정동,51 - 51,827,386,441
가음정동,52 - 52,879,373,506
가음정동,53 - 53,829,358,471
가음정동,54 - 54,796,348,448
가음정동,55 - 55,869,441,428
가음정동,56 - 56,886,441,445
가음정동,57 - 57,679,346,333
가음정동,58 - 58,829,436,393
가음정동,59 - 59,756,387,369
가음정동,60 - 60,861,449,412
가음정동,61 - 61,786,416,370
가음정동,62 - 62,606,351,255
가음정동,63 - 63,514,288,226
가음정동,64 - 64,418,219,199
가음정동,65 - 65,385,190,195
가음정동,66 - 66,390,195,195
가음정동,67 - 67,274,148,126
가음정동,68 - 68,242,131,111
가음정동,69 - 69,245,127,118
가음정동,70 - 70,173,84,89
가음정동,71 - 71,161,90,71
가음정동,72 - 72,157,72,85
가음정동,73 - 73,146,76,70
가음정동,74 - 74,117,50,67
가음정동,75 - 75,86,43,43
가음정동,76 - 76,99,46,53
가음정동,77 - 77,84,37,47
가음정동,78 - 78,83,38,45
가음정동,79 - 79,98,30,68
가음정동,80 - 80,70,23,47
가음정동,81 - 81,66,20,46
가음정동,82 - 82,70,26,44
가음정동,83 - 83,57,17,40
가음정동,84 - 84,69,19,50
가음정동,85 - 85,49,6,43
가음정동,86 - 86,51,9,42
가음정동,87 - 87,32,9,23
가음정동,88 - 88,34,5,29
가음정동,89 - 89,33,7,26
가음정동,90 - 90,18,2,16
가음정동,91 - 91,12,2,10
가음정동,92 - 92,9,1,8
가음정동,93 - 93,13,0,13
가음정동,94 - 94,8,2,6
가음정동,95 - 95,5,3,2
가음정동,96 - 96,3,1,2
가음정동,97 - 97,4,0,4
가음정동,98 - 98,2,0,2
가음정동,99 - 99,1,0,1
가음정동,100 - 100,1,1,0
성주동,0 - 0,146,81,65
성주동,1 - 1,164,91,73
성주동,2 - 2,158,88,70
성주동,3 - 3,202,113,89
성주동,4 - 4,209,101,108
성주동,5 - 5,234,128,106
성주동,6 - 6,243,137,106
성주동,7 - 7,268,128,140
성주동,8 - 8,245,126,119
성주동,9 - 9,256,121,135
성주동,10 - 10,261,141,120
성주동,11 - 11,277,142,135
성주동,12 - 12,292,155,137
성주동,13 - 13,300,152,148
성주동,14 - 14,283,154,129
성주동,15 - 15,309,172,137
성주동,16 - 16,308,180,128
성주동,17 - 17,315,168,147
성주동,18 - 18,321,181,140
성주동,19 - 19,327,170,157
성주동,20 - 20,423,248,175
성주동,21 - 21,425,250,175
성주동,22 - 22,356,196,160
성주동,23 - 23,433,222,211
성주동,24 - 24,383,198,185
성주동,25 - 25,386,218,168
성주동,26 - 26,401,227,174
성주동,27 - 27,431,255,176
성주동,28 - 28,395,226,169
성주동,29 - 29,386,211,175
성주동,30 - 30,370,196,174
성주동,31 - 31,349,201,148
성주동,32 - 32,356,214,142
성주동,33 - 33,315,172,143
성주동,34 - 34,315,162,153
성주동,35 - 35,310,158,152
성주동,36 - 36,278,148,130
성주동,37 - 37,319,178,141
성주동,38 - 38,359,189,170
성주동,39 - 39,370,187,183
성주동,40 - 40,374,173,201
성주동,41 - 41,383,197,186
성주동,42 - 42,375,180,195
성주동,43 - 43,366,180,186
성주동,44 - 44,374,176,198
성주동,45 - 45,402,197,205
성주동,46 - 46,396,177,219
성주동,47 - 47,457,215,242
성주동,48 - 48,550,259,291
성주동,49 - 49,524,224,300
성주동,50 - 50,591,270,321
성주동,51 - 51,638,310,328
성주동,52 - 52,659,286,373
성주동,53 - 53,611,309,302
성주동,54 - 54,657,349,308
성주동,55 - 55,583,302,281
성주동,56 - 56,543,286,257
성주동,57 - 57,476,262,214
성주동,58 - 58,572,291,281
성주동,59 - 59,518,277,241
성주동,60 - 60,583,323,260
성주동,61 - 61,455,257,198
성주동,62 - 62,400,226,174
성주동,63 - 63,289,173,116
성주동,64 - 64,279,149,130
성주동,65 - 65,239,133,106
성주동,66 - 66,220,135,85
성주동,67 - 67,172,89,83
성주동,68 - 68,146,77,69
성주동,69 - 69,144,82,62
성주동,70 - 70,91,43,48
성주동,71 - 71,97,59,38
성주동,72 - 72,84,47,37
성주동,73 - 73,78,42,36
성주동,74 - 74,73,36,37
성주동,75 - 75,41,22,19
성주동,76 - 76,49,26,23
성주동,77 - 77,32,19,13
성주동,78 - 78,30,14,16
성주동,79 - 79,43,19,24
성주동,80 - 80,31,13,18
성주동,81 - 81,34,13,21
성주동,82 - 82,34,9,25
성주동,83 - 83,32,6,26
성주동,84 - 84,25,5,20
성주동,85 - 85,27,5,22
성주동,86 - 86,34,6,28
성주동,87 - 87,17,1,16
성주동,88 - 88,23,6,17
성주동,89 - 89,13,1,12
성주동,90 - 90,19,3,16
성주동,91 - 91,5,0,5
성주동,92 - 92,9,2,7
성주동,93 - 93,3,0,3
성주동,94 - 94,4,1,3
성주동,95 - 95,2,0,2
성주동,96 - 96,1,0,1
성주동,98 - 98,2,0,2
성주동,120 - 120,1,0,1
웅남동,0 - 0,18,8,10
웅남동,1 - 1,36,16,20
웅남동,2 - 2,29,21,8
웅남동,3 - 3,39,20,19
웅남동,4 - 4,32,19,13
웅남동,5 - 5,48,17,31
웅남동,6 - 6,44,22,22
웅남동,7 - 7,43,25,18
웅남동,8 - 8,59,28,31
웅남동,9 - 9,88,41,47
웅남동,10 - 10,59,33,26
웅남동,11 - 11,72,44,28
웅남동,12 - 12,68,32,36
웅남동,13 - 13,86,44,42
웅남동,14 - 14,86,50,36
웅남동,15 - 15,65,36,29
웅남동,16 - 16,65,39,26
웅남동,17 - 17,70,39,31
웅남동,18 - 18,73,38,35
웅남동,19 - 19,91,38,53
웅남동,20 - 20,105,53,52
웅남동,21 - 21,90,56,34
웅남동,22 - 22,85,52,33
웅남동,23 - 23,84,60,24
웅남동,24 - 24,101,65,36
웅남동,25 - 25,91,61,30
웅남동,26 - 26,107,61,46
웅남동,27 - 27,114,69,45
웅남동,28 - 28,109,61,48
웅남동,29 - 29,108,68,40
웅남동,30 - 30,84,54,30
웅남동,31 - 31,97,56,41
웅남동,32 - 32,104,63,41
웅남동,33 - 33,86,59,27
웅남동,34 - 34,77,51,26
웅남동,35 - 35,84,50,34
웅남동,36 - 36,91,60,31
웅남동,37 - 37,74,42,32
웅남동,38 - 38,95,45,50
웅남동,39 - 39,114,57,57
웅남동,40 - 40,133,74,59
웅남동,41 - 41,123,69,54
웅남동,42 - 42,104,57,47
웅남동,43 - 43,113,62,51
웅남동,44 - 44,103,54,49
웅남동,45 - 45,110,59,51
웅남동,46 - 46,136,70,66
웅남동,47 - 47,149,68,81
웅남동,48 - 48,124,63,61
웅남동,49 - 49,140,72,68
웅남동,50 - 50,151,74,77
웅남동,51 - 51,142,74,68
웅남동,52 - 52,147,80,67
웅남동,53 - 53,141,74,67
웅남동,54 - 54,135,62,73
웅남동,55 - 55,131,75,56
웅남동,56 - 56,148,73,75
웅남동,57 - 57,125,60,65
웅남동,58 - 58,130,59,71
웅남동,59 - 59,162,74,88
웅남동,60 - 60,184,93,91
웅남동,61 - 61,178,94,84
웅남동,62 - 62,144,66,78
웅남동,63 - 63,143,70,73
웅남동,64 - 64,137,68,69
웅남동,65 - 65,112,59,53
웅남동,66 - 66,116,46,70
웅남동,67 - 67,99,52,47
웅남동,68 - 68,92,43,49
웅남동,69 - 69,81,41,40
웅남동,70 - 70,57,23,34
웅남동,71 - 71,82,42,40
웅남동,72 - 72,52,24,28
웅남동,73 - 73,64,34,30
웅남동,74 - 74,61,29,32
웅남동,75 - 75,34,15,19
웅남동,76 - 76,38,21,17
웅남동,77 - 77,46,20,26
웅남동,78 - 78,49,25,24
웅남동,79 - 79,50,24,26
웅남동,80 - 80,30,15,15
웅남동,81 - 81,39,15,24
웅남동,82 - 82,31,6,25
웅남동,83 - 83,35,14,21
웅남동,84 - 84,24,5,19
웅남동,85 - 85,24,10,14
웅남동,86 - 86,20,7,13
웅남동,87 - 87,14,5,9
웅남동,88 - 88,12,4,8
웅남동,89 - 89,7,1,6
웅남동,90 - 90,13,3,10
웅남동,91 - 91,8,2,6
웅남동,92 - 92,4,2,2
웅남동,93 - 93,3,1,2
웅남동,94 - 94,5,0,5
웅남동,95 - 95,1,0,1
웅남동,96 - 96,4,1,3
웅남동,98 - 98,1,0,1
구산면,0 - 0,2,2,0
구산면,1 - 1,7,3,4
구산면,2 - 2,6,4,2
구산면,3 - 3,8,3,5
구산면,4 - 4,15,8,7
구산면,5 - 5,15,10,5
구산면,6 - 6,13,7,6
구산면,7 - 7,13,7,6
구산면,8 - 8,13,9,4
구산면,9 - 9,12,6,6
구산면,10 - 10,15,8,7
구산면,11 - 11,7,3,4
구산면,12 - 12,10,4,6
구산면,13 - 13,14,9,5
구산면,14 - 14,13,8,5
구산면,15 - 15,16,7,9
구산면,16 - 16,18,9,9
구산면,17 - 17,17,8,9
구산면,18 - 18,17,7,10
구산면,19 - 19,24,13,11
구산면,20 - 20,25,20,5
구산면,21 - 21,25,20,5
구산면,22 - 22,23,16,7
구산면,23 - 23,32,22,10
구산면,24 - 24,27,17,10
구산면,25 - 25,29,20,9
구산면,26 - 26,32,22,10
구산면,27 - 27,33,18,15
구산면,28 - 28,28,17,11
구산면,29 - 29,31,19,12
구산면,30 - 30,30,21,9
구산면,31 - 31,26,17,9
구산면,32 - 32,28,20,8
구산면,33 - 33,32,19,13
구산면,34 - 34,22,10,12
구산면,35 - 35,23,14,9
구산면,36 - 36,20,13,7
구산면,37 - 37,16,9,7
구산면,38 - 38,34,27,7
구산면,39 - 39,41,29,12
구산면,40 - 40,44,32,12
구산면,41 - 41,42,29,13
구산면,42 - 42,39,26,13
구산면,43 - 43,34,23,11
구산면,44 - 44,30,21,9
구산면,45 - 45,28,18,10
구산면,46 - 46,44,27,17
구산면,47 - 47,46,32,14
구산면,48 - 48,40,26,14
구산면,49 - 49,35,22,13
구산면,50 - 50,58,35,23
구산면,51 - 51,50,31,19
구산면,52 - 52,56,33,23
구산면,53 - 53,65,33,32
구산면,54 - 54,73,37,36
구산면,55 - 55,78,42,36
구산면,56 - 56,81,45,36
구산면,57 - 57,81,41,40
구산면,58 - 58,92,42,50
구산면,59 - 59,94,43,51
구산면,60 - 60,134,72,62
구산면,61 - 61,125,50,75
구산면,62 - 62,136,81,55
구산면,63 - 63,117,64,53
구산면,64 - 64,132,70,62
구산면,65 - 65,121,57,64
구산면,66 - 66,122,60,62
구산면,67 - 67,92,47,45
구산면,68 - 68,93,46,47
구산면,69 - 69,99,42,57
구산면,70 - 70,80,35,45
구산면,71 - 71,85,51,34
구산면,72 - 72,98,48,50
구산면,73 - 73,88,45,43
구산면,74 - 74,67,33,34
구산면,75 - 75,37,23,14
구산면,76 - 76,70,28,42
구산면,77 - 77,49,18,31
구산면,78 - 78,59,23,36
구산면,79 - 79,80,31,49
구산면,80 - 80,57,18,39
구산면,81 - 81,52,18,34
구산면,82 - 82,43,13,30
구산면,83 - 83,42,12,30
구산면,84 - 84,33,7,26
구산면,85 - 85,38,11,27
구산면,86 - 86,18,7,11
구산면,87 - 87,25,9,16
구산면,88 - 88,16,2,14
구산면,89 - 89,20,3,17
구산면,90 - 90,18,3,15
구산면,91 - 91,10,2,8
구산면,92 - 92,11,2,9
구산면,93 - 93,9,1,8
구산면,94 - 94,3,2,1
구산면,95 - 95,5,0,5
구산면,96 - 96,6,0,6
구산면,98 - 98,5,0,5
구산면,100 - 100,1,0,1
진동면,0 - 0,43,22,21
진동면,1 - 1,56,28,28
진동면,2 - 2,98,59,39
진동면,3 - 3,82,44,38
진동면,4 - 4,137,64,73
진동면,5 - 5,129,72,57
진동면,6 - 6,142,76,66
진동면,7 - 7,122,69,53
진동면,8 - 8,123,63,60
진동면,9 - 9,122,64,58
진동면,10 - 10,118,67,51
진동면,11 - 11,117,59,58
진동면,12 - 12,119,62,57
진동면,13 - 13,95,50,45
진동면,14 - 14,100,44,56
진동면,15 - 15,88,47,41
진동면,16 - 16,102,51,51
진동면,17 - 17,92,47,45
진동면,18 - 18,88,40,48
진동면,19 - 19,108,60,48
진동면,20 - 20,101,44,57
진동면,21 - 21,115,55,60
진동면,22 - 22,95,47,48
진동면,23 - 23,107,69,38
진동면,24 - 24,117,74,43
진동면,25 - 25,96,57,39
진동면,26 - 26,108,62,46
진동면,27 - 27,118,59,59
진동면,28 - 28,102,62,40
진동면,29 - 29,111,62,49
진동면,30 - 30,90,54,36
진동면,31 - 31,111,65,46
진동면,32 - 32,107,63,44
진동면,33 - 33,114,53,61
진동면,34 - 34,118,70,48
진동면,35 - 35,130,65,65
진동면,36 - 36,148,78,70
진동면,37 - 37,149,77,72
진동면,38 - 38,167,93,74
진동면,39 - 39,217,109,108
진동면,40 - 40,228,125,103
진동면,41 - 41,225,120,105
진동면,42 - 42,228,118,110
진동면,43 - 43,222,122,100
진동면,44 - 44,187,108,79
진동면,45 - 45,179,96,83
진동면,46 - 46,173,94,79
진동면,47 - 47,176,103,73
진동면,48 - 48,174,95,79
진동면,49 - 49,180,101,79
진동면,50 - 50,198,113,85
진동면,51 - 51,182,99,83
진동면,52 - 52,207,105,102
진동면,53 - 53,205,116,89
진동면,54 - 54,175,102,73
진동면,55 - 55,212,110,102
진동면,56 - 56,202,105,97
진동면,57 - 57,157,79,78
진동면,58 - 58,196,99,97
진동면,59 - 59,222,129,93
진동면,60 - 60,268,143,125
진동면,61 - 61,246,107,139
진동면,62 - 62,232,112,120
진동면,63 - 63,212,110,102
진동면,64 - 64,190,99,91
진동면,65 - 65,181,88,93
진동면,66 - 66,240,112,128
진동면,67 - 67,204,103,101
진동면,68 - 68,169,68,101
진동면,69 - 69,165,79,86
진동면,70 - 70,132,67,65
진동면,71 - 71,141,73,68
진동면,72 - 72,124,71,53
진동면,73 - 73,136,72,64
진동면,74 - 74,121,57,64
진동면,75 - 75,78,45,33
진동면,76 - 76,92,35,57
진동면,77 - 77,89,39,50
진동면,78 - 78,73,26,47
진동면,79 - 79,86,30,56
진동면,80 - 80,78,30,48
진동면,81 - 81,67,25,42
진동면,82 - 82,59,19,40
진동면,83 - 83,47,14,33
진동면,84 - 84,59,16,43
진동면,85 - 85,49,16,33
진동면,86 - 86,42,13,29
진동면,87 - 87,28,9,19
진동면,88 - 88,33,9,24
진동면,89 - 89,18,6,12
진동면,90 - 90,29,7,22
진동면,91 - 91,13,3,10
진동면,92 - 92,14,0,14
진동면,93 - 93,6,0,6
진동면,94 - 94,5,0,5
진동면,95 - 95,7,1,6
진동면,96 - 96,4,1,3
진동면,97 - 97,3,0,3
진동면,98 - 98,1,0,1
진동면,99 - 99,2,1,1
진동면,102 - 102,1,0,1
진북면,0 - 0,2,2,0
진북면,1 - 1,4,0,4
진북면,2 - 2,5,5,0
진북면,3 - 3,5,5,0
진북면,4 - 4,8,4,4
진북면,5 - 5,7,3,4
진북면,6 - 6,4,2,2
진북면,7 - 7,9,3,6
진북면,8 - 8,5,3,2
진북면,9 - 9,10,5,5
진북면,10 - 10,12,6,6
진북면,11 - 11,12,7,5
진북면,12 - 12,12,5,7
진북면,13 - 13,8,5,3
진북면,14 - 14,10,7,3
진북면,15 - 15,9,4,5
진북면,16 - 16,19,10,9
진북면,17 - 17,9,6,3
진북면,18 - 18,27,17,10
진북면,19 - 19,16,12,4
진북면,20 - 20,28,15,13
진북면,21 - 21,27,14,13
진북면,22 - 22,23,11,12
진북면,23 - 23,32,12,20
진북면,24 - 24,25,15,10
진북면,25 - 25,24,15,9
진북면,26 - 26,25,20,5
진북면,27 - 27,22,14,8
진북면,28 - 28,13,7,6
진북면,29 - 29,26,20,6
진북면,30 - 30,25,19,6
진북면,31 - 31,25,15,10
진북면,32 - 32,25,16,9
진북면,33 - 33,18,15,3
진북면,34 - 34,8,5,3
진북면,35 - 35,9,7,2
진북면,36 - 36,12,7,5
진북면,37 - 37,23,14,9
진북면,38 - 38,31,15,16
진북면,39 - 39,21,12,9
진북면,40 - 40,27,19,8
진북면,41 - 41,32,19,13
진북면,42 - 42,25,16,9
진북면,43 - 43,22,15,7
진북면,44 - 44,24,14,10
진북면,45 - 45,31,18,13
진북면,46 - 46,23,18,5
진북면,47 - 47,35,20,15
진북면,48 - 48,40,26,14
진북면,49 - 49,40,27,13
진북면,50 - 50,45,21,24
진북면,51 - 51,57,34,23
