"연령별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"연령별(1)",경기도,경기도,경기도,수원시,수원시,수원시,용인시,용인시,용인시,성남시,성남시,성남시,부천시,부천시,부천시,안산시,안산시,안산시,화성시,화성시,화성시,안양시,안양시,안양시,평택시,평택시,평택시,시흥시,시흥시,시흥시,김포시,김포시,김포시,광명시,광명시,광명시,광주시,광주시,광주시,군포시,군포시,군포시,이천시,이천시,이천시,오산시,오산시,오산시,하남시,하남시,하남시,안성시,안성시,안성시,의왕시,의왕시,의왕시,여주시,여주시,여주시,과천시,과천시,과천시,양평군,양평군,양평군,고양시,고양시,고양시,남양주시,남양주시,남양주시,의정부시,의정부시,의정부시,파주시,파주시,파주시,양주시,양주시,양주시,구리시,구리시,구리시,포천시,포천시,포천시,동두천시,동두천시,동두천시,가평군,가평군,가평군,연천군,연천군,연천군
"연령별(1)",계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
"35~39세",51859,33715,18144,4164,2364,1800,2085,1333,752,1686,898,788,2836,1599,1237,6652,4099,2553,5962,4551,1411,779,428,351,3243,2008,1235,4803,3052,1751,2977,2426,551,571,271,300,1889,1407,482,774,442,332,905,583,322,1209,662,547,353,220,133,1578,1111,467,160,93,67,405,281,124,19,10,9,174,77,97,1645,901,744,1051,646,405,534,229,305,1746,1313,433,1022,784,238,190,110,80,1694,1384,310,531,312,219,104,35,69,118,86,32
"40~44세",34848,21190,13658,3242,1856,1386,1311,759,552,1396,756,640,2088,1172,916,5420,3134,2286,3295,2287,1008,588,309,279,2182,1323,859,3330,2082,1248,1474,1119,355,505,256,249,1033,695,338,601,337,264,495,303,192,873,475,398,211,115,96,983,659,324,103,44,59,202,120,82,22,10,12,89,36,53,1147,576,571,593,329,264,372,180,192,1041,732,309,604,419,185,123,51,72,935,716,219,410,250,160,100,36,64,80,54,26
"45~49세",34106,18543,15563,4047,2212,1835,1289,662,627,1866,982,884,2360,1198,1162,6074,3419,2655,2296,1354,942,788,394,394,1907,1034,873,3321,1847,1474,1008,581,427,618,337,281,784,439,345,788,414,374,411,189,222,1011,548,463,155,68,87,724,388,336,107,49,58,155,69,86,20,11,9,103,37,66,1089,525,564,466,240,226,370,159,211,714,411,303,462,294,168,130,56,74,593,376,217,303,181,122,93,36,57,54,33,21
"50~54세",35077,18002,17075,4661,2424,2237,1237,593,644,2196,1103,1093,2813,1418,1395,6198,3329,2869,2041,1086,955,878,459,419,1875,968,907,3225,1676,1549,958,537,421,776,387,389,698,340,358,871,442,429,407,199,208,1104,597,507,177,73,104,639,312,327,110,56,54,167,69,98,13,4,9,95,40,55,1127,501,626,437,182,255,404,177,227,629,337,292,368,222,146,127,41,86,413,209,204,244,146,98,130,42,88,59,33,26
"55~59세",36707,17596,19111,5396,2669,2727,1299,587,712,2551,1202,1349,3620,1739,1881,6012,3043,2969,1840,933,907,1034,482,552,1845,870,975,3277,1538,1739,968,501,467,1042,505,537,694,318,376,990,469,521,385,174,211,1197,554,643,149,59,90,612,270,342,78,33,45,142,56,86,14,3,11,87,28,59,1212,531,681,357,139,218,351,167,184,485,210,275,239,127,112,150,54,96,350,170,180,172,96,76,101,37,64,58,32,26
"60~64세",13233,6629,6604,1854,1004,850,532,268,264,857,438,419,1495,762,733,1863,957,906,573,291,282,432,210,222,763,369,394,1000,484,516,355,175,180,442,217,225,268,131,137,403,212,191,128,53,75,418,219,199,59,24,35,197,89,108,41,20,21,59,28,31,9,4,5,36,14,22,524,237,287,149,60,89,154,78,76,200,89,111,106,49,57,65,27,38,103,47,56,76,35,41,47,27,20,25,11,14
"65~69세",3476,1826,1650,458,243,215,155,73,82,212,118,94,372,210,162,450,225,225,159,82,77,104,54,50,233,150,83,210,107,103,100,56,44,106,62,44,68,35,33,72,36,36,40,20,20,91,36,55,22,12,10,42,22,20,18,11,7,20,9,11,2,1,1,17,9,8,163,73,90,64,32,32,67,30,37,59,32,27,40,16,24,28,14,14,43,19,24,28,20,8,24,13,11,9,6,3
"70~74세",1161,654,507,141,72,69,53,32,21,67,32,35,107,54,53,164,84,80,44,24,20,36,18,18,106,78,28,52,28,24,32,20,12,21,13,8,33,18,15,28,15,13,9,3,6,23,13,10,10,6,4,16,10,6,6,3,3,6,4,2,-,-,-,10,5,5,64,40,24,10,7,3,30,23,7,29,16,13,18,6,12,6,4,2,13,9,4,16,9,7,9,8,1,2,-,2
"75~79세",415,229,186,44,20,24,16,12,4,19,10,9,29,13,16,59,28,31,12,8,4,12,4,8,53,43,10,17,8,9,18,8,10,6,3,3,5,1,4,5,2,3,5,4,1,6,4,2,1,-,1,7,5,2,2,1,1,2,2,-,2,1,1,4,2,2,23,12,11,9,3,6,11,4,7,11,7,4,11,7,4,2,2,-,11,4,7,8,7,1,3,2,1,2,2,-
"80~84세",236,131,105,28,18,10,10,7,3,11,6,5,25,15,10,43,16,27,5,3,2,6,2,4,22,18,4,8,4,4,13,10,3,7,2,5,4,2,2,5,4,1,-,-,-,2,1,1,-,-,-,3,2,1,1,1,-,-,-,-,1,1,-,1,-,1,11,2,9,4,1,3,6,2,4,4,3,1,1,1,-,-,-,-,3,3,-,7,6,1,5,1,4,-,-,-
"85~89세",109,60,49,7,5,2,2,2,-,6,3,3,8,6,2,18,11,7,1,1,-,6,-,6,11,9,2,9,4,5,2,1,1,4,1,3,3,1,2,3,1,2,1,1,-,1,1,-,-,-,-,2,1,1,-,-,-,-,-,-,1,1,-,1,1,-,9,1,8,4,2,2,5,4,1,1,1,-,-,-,-,-,-,-,1,-,1,1,1,-,2,1,1,-,-,-
"90~94세",46,18,28,9,5,4,2,-,2,3,1,2,5,1,4,8,1,7,-,-,-,-,-,-,3,1,2,3,-,3,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,3,1,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,-,-,-,-,-,-
"95~99세",16,7,9,3,3,-,-,-,-,1,1,-,1,-,1,1,-,1,3,1,2,-,-,-,2,-,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100세 이상",4,3,1,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
